,budget,duration,id,job_type,skills,snippet,title,workload,country,feedback,jobs_posted,past_hires,payment_verification_status,reviews_count
10,0.0,Less than 1 week,~015db973a6850e8d85,Hourly,"['data-mining', 'microsoft-excel']","I'm looking for someone with data mining experience and who is knowledgeable when it comes to extracting data and importing it to a workable Excel file. In total there are about 25,000 records to be mined so this job would be perfect for someone that has experience with data mining tools.The website details will be provide to the successful candidate.  ",Data mining for one website,Less than 10 hrs/week,Australia,4.8999555358,8,7,VERIFIED,3
11,30.0,,~014e505dbacc71f0f8,Fixed,['google-spreadsheet'],Fill out the following spreadsheet on US election demographics - instructions on spreadsheet.https://docs.google.com/spreadsheets/d/1w4k52qTGyWNxHD5SR3_Drn2kTlUTnxVbiZppgrC_400/edit,Need help finding out demographics for USA Election Swing States,30+ hrs/week,United States,0.0,0,0,UNKNOWN,0
12,10.0,,~0144a6e9cf913d583e,Fixed,[],"Hi,I need an excel expert who can help me edit an exciting excel workbook. It's sum and subtraction but there are charts that need to correlate.",Excel expert,30+ hrs/week,Macao,5.0,2,3,VERIFIED,1
13,0.0,1 to 3 months,~01a02d81bc81fa52ed,Hourly,[],"Hello,We need assistance in Developing few SSIS Packages and t-SQL ETLs.provide your experience and work sample.",SSIS Developer needed,10-30 hrs/week,India,0.0,2,0,UNKNOWN,0
14,20.0,,~01c298389f1eb4ae66,Fixed,[],"I need to scrape data from the charts ""Job Postings"" & ""Job Seeker Interest"" into an xls file, from this website : http://www.indeed.com/jobtrends/q-redshift.html I need raw data with daily granularity from Nov 30th 2012 to today, in two columns: 1) Date 2) Value A plot of the data should be identical to the original charts on the website.1) Extract the data from the charts into an xls file2) Plot the chart in xls3) Check that the chart in xls is identical to the chart on the websitePrecision, quality of deliverables, ability to first check and scope the work with me before simply starting.",Data Scraping from Indeed Job Trends,30+ hrs/week,United States,0.0,0,0,UNKNOWN,0
15,0.0,Less than 1 week,~01f9d0ff7489dc1023,Hourly,"['data-mining', 'data-scraping', 'excel-vba', 'marketing-automation', 'microsoft-excel', 'microsoft-excel-powerpivot', 'relational-databases']","The Project is very specific, The contractor will be tasked with obtaining the current (2016) MEMBERSHIP LIST for the Ohio Manufactures Association (USA) and its Connection Partners membership list. List must include full contact information, SPECIFICALLY email addresses. The deliverable from the contractor MUST BE AN Excel file containing all of the required contact information. The output must be suitable for use with a MailChamp email campaign.",Data mining/data scraping,10-30 hrs/week,United States,3.7353658371,162,173,VERIFIED,92
16,200.0,,~01cf0fa82b2b3e61bd,Fixed,[],"Hi, we need someone to extract email addresses for all members of the National Council for Hypnotherapy, website: www.hypnotherapists.org.uk",Email harvesting from one website,30+ hrs/week,United Kingdom,0.0,0,0,UNKNOWN,0
17,10000.0,,~01da4fef297e6a9de3,Fixed,"['financial-forecasting', 'forex-trading', 'metatrader-4-mt4', 'tradestation']","We r Serious and regulated money managers and broker hous looking for Serious traders with proven and audited track recordSpeciall if you trade news trading ? or another similar strategy and you can show me audited life account results not less than 6 months we will invest in youOnly apply to this job if you match this requirements1 - Show me audited track record life account - myfxbook or fxssat - or statment or life account better investor password 2 - i,m looking for FX news trading speciallist - i will be happy to talk with / we ready to invest up to 1 millon in you talent! ",FOREX TRADERS WANTED - 1000000$,30+ hrs/week,Spain,0.0,1,0,UNKNOWN,0
18,0.0,1 to 3 months,~01a23b16268fa84676,Hourly,[],Looking for experienced coder in xplan to set up tasks and threads in xplan as well as code template documents,Xplan coder,10-30 hrs/week,Australia,0.0,0,0,UNKNOWN,0
19,40.0,,~01c2015a1c1936ed87,Fixed,[],"I have had some scraping done before, but only on yellow pages. I am now after more company details from other sources.What other sources can you use to fetch details of companies?Please give me a price for scraping data for tree service compaines (arborists, tree loppers etc) for 10 cities.Australia:MelbourneSydneyAdelaideBrisbanePerthSunshine CoastGold CoastCanberraUSA:Miami FL (Broward County)Hollywood FL (Miami-Dade County)I look forward to hearing from you.Ben",D4ta Min1ng,30+ hrs/week,Spain,4.6941349509,91,63,VERIFIED,44
20,100.0,,~01f2af7ab6c4fb7d41,Fixed,['data-mining'],"Looking to build a database of specific titles within organizations. I will provide one sample ""Test Company"". If good I want all companies within a certain category scraped.Must include:First NameLast NameTitleAddress",Looking to Build a database of Names and Addresses of Companies,30+ hrs/week,United States,4.4705124499,188,109,VERIFIED,67
21,55.0,,~010b5d4836ca54a88a,Fixed,[],We need the websites parsed. The results should be in CSV. Please note we estimate each website to cost us between 2-3$USD. Provide your skype ID for an interview. ,25 websites need to be parsed,30+ hrs/week,United States,2.4614271289,155,53,VERIFIED,27
22,100.0,,~01f94c04a25b270136,Fixed,[],"Need to have my forms sent from Podio to Webmerge and then to any program like Docusign but, must have initials and signatures exactly where I need them in each form.  Need this done asap.  ",Webmerge and Podio Integration,30+ hrs/week,United States,0.0,1,1,VERIFIED,0
23,0.0,Less than 1 week,~01bc7598ecb57ff850,Hourly,[],"develop custom spreadsheets which make data input and output more smoothly using features as forms, equations and dashboard or graphsin addition to teach me how to do in the future",Data Visualization and dashboard in Excel + teachning,10-30 hrs/week,Saudi Arabia,0.0,0,0,UNKNOWN,0
24,0.0,Less than 1 week,~01d35ca24aaf280860,Hourly,"['data-science', 'microsoft-power-bi']",I would like to learn Power BI,Teachning Power BI,10-30 hrs/week,Saudi Arabia,0.0,0,0,UNKNOWN,0
25,0.0,Less than 1 week,~0140bc58202b4ad7e8,Hourly,"['microsoft-excel', 'microsoft-power-bi']",Looking for an experienced front end Power BI for a small task where i have the data but want to present in a dashboard on Power BI to manage my time easier and know what needs more focus to finish as a task,PowerBI,10-30 hrs/week,Saudi Arabia,0.0,0,0,UNKNOWN,0
26,20.0,,~01d839fc0f8ffb5b6b,Fixed,[],"Hi,I need an excel expert who can help me write formulas",Excel expert,30+ hrs/week,Macao,5.0,4,3,VERIFIED,1
27,50.0,,~019b2cdcb7c6a2f114,Fixed,"['data-mining', 'microsoft-excel']",I need to find someone who can scrap data from yellow pages efficiently. Please answer this in your cover letter: How much do you charge for 1000 contacts? And can you convert data from the yellow pages CD to excel? (so that it can be used easily)Thank you!,Yellow Pages Scraping,30+ hrs/week,Singapore,0.0,19,5,VERIFIED,0
28,150.0,,~01864f886ea56aa155,Fixed,"['gis', 'postgis', 'qgis']","We need to produce a GeoJSON file with the neighborhoods of a city. I already have identified the neighborhoods and have a rough KMZ. You will need to ""clean"" the geometries and generate ge GeoJSON with the adequate fields.  Please submit your bid specifying the number of hours you expect will need. The file needs to be produced as soon as possible. This project is part of an ongoing larger project and more work is to be expected in the future.",GeoJSON file,30+ hrs/week,Spain,5.0,29,20,VERIFIED,11
29,0.0,Less than 1 month,~013b75a600cef2764e,Hourly,[],"I have vast number of csv files containing settlement records of different stocks, with different dates and different stocks. Need to compare among them and  combine the resultsinto a single spreadsheet. More details will be provided in later stage. Thanks.",Automated calculation of data in csv file using VBA,Less than 10 hrs/week,Hong Kong,5.0,10,8,VERIFIED,3
30,0.0,1 to 3 months,~01bf4a2dbc410cd9dc,Hourly,"['excel-vba', 'microsoft-excel', 'mysql-programming', 'web-scraping']","I need assistance from a freelancer with Intermediate/Expert Excel VBA, Web Scraping and MYSQL skills who can become familiar with my complex workbooks and provide routine updates and modifications.I have an existing workbook that routinely requires modifications and updates and need immediate assistance.The workbook collects data using webscraping.  It then incorporates data from XML feeds.  Then it performs financial and analytical calculations.  The results are ultimately uploaded into a MYSQL database.","Scoring Workbook - EXCEL VBA, Web Scraping, MYSQL",10-30 hrs/week,United States,0.0,24,23,,0
31,35.0,,~019d9e1f29661dcc42,Fixed,"['data-entry', 'data-mining', 'microsoft-excel']","Greetings,I am looking for a data mining expert who can fix the gender using the names. For example:If name is ""James Smith""  google on ""James Smith"" and see sort gender the person is, clearly James Smith is a male name, hence the gender will be Male. If the ""Alice Smith"" is the name,  hence, google on 'Alice Smith"" and gain idea, clearly Alice Smith is a Female name. I will provide list of 1600 records, where name are got to be fixed. Terms:1) The job must be fixed with 1 day 2) Only experienced data mining experts are entitled 3) NDA is a must4) Proof of ID and address is required of your or your organisation director/signing authority Many thanks.",Gender fix on data,30+ hrs/week,United Kingdom,5.0,11,7,VERIFIED,3
32,0.0,Less than 1 week,~0128560cb648994deb,Hourly,[],"Hello,need to extract these 2 files in a usable format that can be sent by e-mail (pdf for example of jpeg ...)https://www.dropbox.com/l/scl/UN36NsLYD7EjNQ59dvLycuhttps://www.dropbox.com/l/scl/a5imIxuljeP5tgVB935qon",.ISO DATA TO EXTRACT AS IMAGINE FILE (PDF OR SIMILAR USUAL FILE),10-30 hrs/week,Switzerland,3.9598660237,7,4,VERIFIED,3
33,100.0,,~01e46f980e4bea9e49,Fixed,"['internet-research', 'microsoft-excel']","We need to sanitize the project list in our mobile application to improve user experience and to give more accurate results. We need an outsourced team which can do this quickly, maintaining quality. This is a sample of 15k data points - project list (from Pune) - that we will like to use to check the quality/efficiency of the professionals/teams involved. Basis the result of the output we will like to offer a much bigger assignment (~25 cities) to people/teams who perform to our satisfaction.  For each of the datapoints on the list the following tasks have to be performed:ptype allocation - identifying if the project is polygon on google map-Search for strings like 'road', 'sector', 'street', 'nagar', 'area' to identify if the area is polygon-Search the project name on google maps and check if the outcome is a polygon or simple point on map.-if the project is identified as Polygon - please update 'p' in column E or else leave it blank-if the project has been marked as polygon no further actions are to be takenName update - To update the name of the project in the format: Project Name, Area A where Area A is the name of locality or area in which the project is located. This information could be identified using google search. If you are not able to identify the right name - leave the column blank. Changes are to done in column MLat/Long identification: Identifying the URL to extract latitude and longitude for project-Project available on Google map - copy the name of the project on google map link and copy the link of subsequent page into excel this url would contain the latitude and longitude. To be pasted in column F-If the project is not available in google map - search the project on common floor, 99acre and magic brick (in this sequence) -For common floor when the page opens - click on Location tab and paste the link of subsequent page in column G-If the project is not available on commonfloor too - then search for project on 99acre and magic brick and paste the link of project page in Excel in column H and IListing Count: Check for number of listings present for each project on following website - commonfloor, 99acre, magicbrick. All sales + rental listing to be included. Paste the total number of listing from each source in column J, K, L respectively.Some examples are given in the attached sheet for reference.Accuracy, Quality, Speed",Data Entry for Projects from Google Map,30+ hrs/week,India,0.0,1,0,UNKNOWN,0
34,0.0,Less than 1 week,~0149d1d51e1b613900,Hourly,"['data-analysis', 'data-modeling']","Find correlation, if any, from sets of dataData set will be sent during interview process.","Find correlation, if any, from sets of data",10-30 hrs/week,United Arab Emirates,4.9747548415,39,19,VERIFIED,13
35,100.0,,~01010caab1912cf4ef,Fixed,['internet-research'],In excel we have a list of 1000 French websites from which we want to have the email addresses and if not available the link to the contact form.,Need to find email addresses for 1000 (French) websites. Build email list.,30+ hrs/week,Netherlands,0.0,2,0,VERIFIED,0
36,15.0,,~018ce6486098389668,Fixed,"['crawlers', 'web-scraping']", I need to download constanly information from a few webs. Example: https://websummit.net/attendees/featured-attendees?source=FB&utm_source=FB&utm_medium=oCPM&utm_term=Danes+Aud%3DNA+Device_Desk+Mob+RHC+Age_25-55&utm_content=copy_Startup+Image_DaneAttendees&utm_campaign=WS_Alpha_PCI need some one fast and who knows how to do it! ,Get contact information from URLs,30+ hrs/week,Spain,5.0,23,7,VERIFIED,3
37,30.0,,~01456b85db6551bb83,Fixed,"['analytics', 'data-analysis', 'google-analytics']","We are looking for a Digital Marketing professional with thorough knowledge of Google Analytics to work with us on part time basis. Main responsibilities shall be to streamline our GA account, identify bugs and ensure its smooth running.IMP: Someone working in Bangalore as we would require the concerned person to coordinate with our web development team as well.",Google Analytics Expert,30+ hrs/week,India,5.0,3,2,VERIFIED,2
38,125.0,,~019c9c544f7b2d05a8,Fixed,[],I'm looking for data from LinkedIn (people) of a certain industry. Looking for 25000-30000 data. will give you all of the information.,LinkedIn Information,30+ hrs/week,,0.0,6,0,,0
39,0.0,1 to 3 months,~01a56c7abf76d2e760,Hourly,[],"I have a job needed to be done.  I'm not exactly sure how to describe it but we are in the process of manufacturing some hardware devices that have communication (input) through a USB cable and output through HDMI. We have working models of our old style device and we also have our new production hardware in place.  We need a method to extract the information from our older model device and program our new model device.  Our engineer who produced our hardware for us left us high and dry so we need to find a way to accomplish what we need done with our physical units.  Our main focus is extracting the data from our previous production model that has the core of our R&D installed.We need someone intelligent with knowledge of how to extract and program data, as well as the ability to either teach us this, or build software/programming/computer so that we can do the data transfer ourselves once we have a proper method.  If that involves us flying to see you to learn we will do so, but preferably will ship you the physical samples and then corresponding through email, skype, teamviewer, etc.We do not have a budget or expectation of hours on this project.  If you feel you are up to the task and challenge, please contact us with your experience and hourly rate, as well as an approximate guesstimate of hours required to consider this job.  We need this job handled professionally and accurately, so price is not our deciding factor on this.  We simply need it done correctly.Thank you for your consideration.  ","Programming some production units - have software, need to load on to a physical device",Less than 10 hrs/week,Canada,0.0,5,3,VERIFIED,0
40,500.0,,~0110e4f9d0f17cb957,Fixed,"['json', 'postgresql', 'postgresql-programming', 'python']","Looking for an experienced Python PostgreSQL developer to tutor me on setting up Pysec https://github.com/lukerosiak/pysec and putting the data into a Postgresql database. ftp --> XBRL --> Python --> DB. This is a laidback job I am looking for someone to teach me more about this new hobby of mine and I would like some interaction with you so I can learn some basics. If you are not into teaching or interacting, this is probably not for you. Thanks!",Python XBRL parser into PostgreSQL db,30+ hrs/week,United States,0.0,1,0,VERIFIED,0
41,2500.0,,~019e8ba25465731c03,Fixed,[],We are a Sports Analytics startup building next-gen sports intelligence products for Sports Fans/Teams powered by our ML-based advanced analytics platform. We have a number of Analytics projects requiring Data Engineering work. Project cost details vary based on scope.,Data Engineer,30+ hrs/week,,0.0,2,0,,0
42,200.0,,~01bb4deabb51cc9274,Fixed,"['google-analytics', 'woocommerce']","We are using WooCommerce for our eCommerce website, along with Enhanced Ecommerce for Google Analytics.However we're getting problematic results - incorrect transaction numbers, and it seems the multicurrency capabilities are confusing Google when it comes to transaction values.We need to get everything working properly, including setting up proper funnel goals along with UTM parameters so we can track the profitability of our Facebook and AdWords campaigns.We also need regular reports creating",I need a Google Analytics / WooCommerce expert to fix issues with Enhanced Ecommerce tracking,30+ hrs/week,United Kingdom,0.0,1,0,UNKNOWN,0
43,10.0,,~01053fdedb0ee05ce7,Fixed,"['javascript', 'microsoft-excel']","We use fileexchange to upload data by google spread sheet.As all know, category ID on ebay has been updated multiple times and hard to keep it latest. http://developer.ebay.com/devzone/xml/docs/reference/ebay/getcategories.htmlhttp://pages.ebay.com/sellerinformation/growing/categorychanges/healthbeauty.htmlAccording to the link above, we should be able to have latest category ID by API.So what I need is google spread sheet with latest category ID which is kept latest by API.Maybe by formula of XML?i.e)Category Name|	Category ID|	Condition Values|	Condition Values|					Business & Industrial>Agriculture & Forestry>Antique Tractors & Equipment>Parts>Allis Chalmers|	45011	|1000=New,1500=New other (see details),2500=Remanufactured,3000=Used,7000=For parts or not working|	1000=New|	1500=New other (see details)|	2500=Remanufactured|	3000=Used|	7000=For parts or not working|","For fileexchange, Latest eBay CategoryID retrieving by API, Google spread sheet",30+ hrs/week,Japan,0.0,3,0,VERIFIED,0
44,0.0,More than 6 months,~01144a1471f30de367,Hourly,['building-estimation'],"Measure size of buildings and paved areas using google earth pro, we have large properties that need to be measured.... over 250 of them.  Need square footage of various areas.  You must be good with google earth pro or daft logic area measurement.  Record data in excel and submit.   It's simple just requires a good eye for detail... must sometimes use street view to determine location of areas and use some judgment.   After the 250 properties are done we would like for you (if interested) to measure about 10-20 per week or as needed. ",Measure size of buildings and paved areas using google earth pro,10-30 hrs/week,United States,0.0,3,0,UNKNOWN,0
45,50.0,,~019c7c5df55e5aa185,Fixed,"['data-entry', 'data-mining']","Please create an organised mailing list with the addresses out from different email accounts, out of which the email addresses need to be distracted first.",Emails need to be extracted from different accounts,30+ hrs/week,Germany,5.0,4,3,VERIFIED,1
46,0.0,Less than 1 week,~019fccf2d6e2253300,Hourly,"['microsoft-access', 'microsoft-excel']",Create filtered reports from SQL database. Simple reports.  Interactive filters. ,Ongoing MSAccess work,10-30 hrs/week,United States,0.0,1,0,UNKNOWN,0
47,0.0,1 to 3 months,~01d571d7ebc8866a5a,Hourly,"['data-analysis', 'data-entry', 'google-analytics', 'microsoft-excel']","As a data entry clerk you would update, maintain and retrieve information held on computer systems. You would also transfer information ",Data Entry,Less than 10 hrs/week,United Kingdom,0.0,2,0,UNKNOWN,0
48,1200.0,,~019181cf3daeb34081,Fixed,"['arcgis', 'gis', 'python']","I have a large NOAA satellite dataset. It consists of visual band and infrared data from one of the NOAA's oldest datasets. We are trying to replicate a product produced by the government, adapted to our needs.Alternatively, we are amenable to a coauthor as this is an academic project.The task is as follows:(1) for each scan, read the dataset using a standard Java library made available for this file format.(2)  Follow a standard paper's procedure for manipulating the data. Of these steps, of significant note is the need to clean out northern lights (approximately). This was done originally by hand, but obviously is infeasible here.(3) overlay cloud data or temperature data (we have cloud data for a large subset of the period).The deliverable is a script that basically completes all of those steps to produce global snapshots of the Earth's surface using the satellite data. Then, benchmarking against the government dataset.Since the satellites are calibrated differently, it'd be nice to know that the code doesn't break for the various versions of the satellite.You can use any software you want. I don't care.",processing satellite data,30+ hrs/week,United States,5.0,4,2,VERIFIED,2
49,200.0,,~01c566ae493417eb83,Fixed,"['data-mining', 'database-programming', 'relational-databases', 'wikipedia']","I need a list of all pages in Wikipedia that are about a company/business/corporation, examples:https://en.wikipedia.org/wiki/TripAdvisorhttps://en.wikipedia.org/wiki/Microsofthttps://en.wikipedia.org/wiki/Berkshire_HathawayThis is not a manual job, it's for someone who have worked with the wikipedia DB dumps before (their DB is available for download for free) and can extract from the DB the required list.The desired output is just a list of Wikipedia URLs.",List of all companies in wikipedia,30+ hrs/week,New Zealand,5.0,8,5,VERIFIED,4
50,0.0,Less than 1 week,~01fa916b2706e5d6aa,Hourly,"['data-science', 'sas']",I would like to know how much it would cost to comment two SAS macros one with 1000 lines and 900 lines of code.  Would like to comments to be extremely detailed.  ,SAS Programmer Needed,Less than 10 hrs/week,United States,0.0,10,5,VERIFIED,0
51,0.0,Less than 1 month,~017804bd5232849295,Hourly,[],"I want to develop an eyeliner, with specific eyeliner with magnetic properties.  ",Chemistry - Cosmetic Formula,Less than 10 hrs/week,Australia,0.0,20,14,VERIFIED,0
52,300.0,,~01cd78cbbac9f158d3,Fixed,"['data-mining', 'data-scraping', 'distributed-computing', 'java', 'web-scraping']","Looking for someone to build a scraping tool with which I can provide/input a batch of public FB individual profile URLs and return most of the profile information in an exportable CSV format. Location is a must, but I'll take whatever other data is possible to scrape.Further, I'll need location data from those profiles to be converted to the most likely country. For example, if a profile location indicates ""Boston, MA,"" the exported CSV will include 1 field that indicates ""Boston, MA"" and another field that indicates ""United States.""THANK YOU SO MUCH FOR YOUR HELP!",Would like to build a scraper for capturing content from public social profiles,30+ hrs/week,United States,0.0,2,0,VERIFICATIONINPROGRESS,0
53,150.0,,~019d85d66cc98360dd,Fixed,"['data-analysis', 'internet-research']",To prepare a research paper writing about data analytics.How data analytics can help in retail industry to understand the customer behaviour and purchasing patterns.The research write up should cover1.	Introduction2.	Literature Review3.	Research Methodology50 Pages of write up,Data Analytics Research,30+ hrs/week,Malaysia,5.0,4,2,VERIFIED,2
54,400.0,,~01a2e7b58d6307d869,Fixed,"['big-data', 'bigquery', 'sql']","I would need data extracted from the GDELT project (gdeltproject.org)It is an publicly accessible database with event information worldwideThe raw dataset is pretty large (2.5 TB) However, they offer the option to extract parts of the data using google big query and SQL http://gdeltproject.org/data.html#googlebigqueryI would need the following three datasets extracted:For all three datasets the DATE RANGE is 01/01/1990 to 12/31/2015For all three datasets leave ACTOR, INITIATOR, RECIPIENT/VICTIM ETC. blank. (I want all possible observations here)For all three datasets leave EVENT LOCATION and EVENT QUAD CLASS blank (I want all possible observations here)The only item that distinguishes the three datasets (queries) is the choice of EVENT CODE.I would need one separate dataset for each of the following three categories:Protest (14), Demand (10), and Coerce (17),In other words, I would like to have one dataset with all events labelled as PROTEST for each country and day in the world for the above data range, one for all event labelled DEMAND and one for all events labelled COERCE.The deliverables are:-	3 .csv files with the downloaded data (via dropbox or other file sharing platform)-	A detailed description of what you did in google query-	The SQL script.Please only apply if you have experience with google big query, SQL and bigger datasets.",Big Data Extraction with Google BigQuery and SQL,30+ hrs/week,Australia,4.9763319211,21,22,VERIFIED,19
55,3000.0,,~010f9a4c1c76a1f0c1,Fixed,"['analytics', 'data-mining']","small start up company looking to hire electric engineer to develop a custom proprietary bridge to run between vms and remote monitoring software which will allow 3rd party integration for all available video and audio analytics on the market. to use with remote cameras stations, must be able to utilize cradlepoint 3g,4g for communication or possibley one of imagination technologies gpu cpu soc camera pipelines. will also need a software developer to create the UI.",need electronic engineer to help design remote camera system,30+ hrs/week,United States,0.0,1,0,UNKNOWN,0
56,500.0,,~01389930be219b4f18,Fixed,"['arcgis', 'gis', 'qgis']","I currently have a few thousand points (street addresses) in a GIS shapefile.  I am trying to break up these points into smaller groups of roughly 200-250 points and create new polygons around those points.  I would like these new polygons to ""snap"" to the lines of another shapefile if possible.  I would like to be able to understand and use this project to create polygons for other areas in the future.",GIS Analysis,30+ hrs/week,United States,5.0,9,5,VERIFIED,4
